No,Name,Status,Priority,Labels,Assignee Email,Start Date,Duration ,Due Date,Notes,Blocked By (Dependencies),Blocking (Dependencies)
1.0,Phase 1: Initiation,,Urgent,,,11-24-25,,11-28-25,,,
1.1,Account Management items,Backlog,Urgent,Initiation,alparslan@veritas-technology.io,11-24-25,4,11-28-25,the following documents are to be sent by account manager ,,
1.10.1,Onboarding Document ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,"Mpay ,Aninda ,Cryptobox ,Sempico ,Myaffiliates "
1.10.2,Brandbook,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
1.10.3,CMS Layout Document ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
1.10.4,Gamification document ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
1.2,Project Management items,Backlog,Urgent,Initiation,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
1.20.1,Confirm MOU with Levi ,Backlog,Urgent,Initiation,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
1.20.2,Send project Scope and MOU to Client ,Backlog,Urgent,Initiation,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
1.20.3,Send project Timeline ,Backlog,Urgent,Initiation,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
1.20.4,License invoice to be sent to operator ,Backlog,Urgent,Initiation,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,,,
1.20.5,Internal Jira Project Setup,Backlog,Urgent,Initiation,hazem.e@veritas-technology.io,11-24-25,4,11-28-25,,,
1.20.6,Integrations Activation ,Backlog,Urgent,Initiation,chelsea.a@veritas-technology.io,11-24-25,4,11-28-25,"Please raise a single jira ticket to request for the activation of the following items on EGT jira project: 

    Inbox messages 
    EGTD games 
    Configurator 
    My offers cancel Button  
    Cashback 
    Tableau 
    Remove Live Chat Icon
    Change Language Button
    Eye Icon for Show/Hide Password
    Enable Max Single Bet Limit - mention it as Max Single Bet Limit & Max total Bet Limit (alpi advised the same)
    copy system messages from the baseline (templates and content)

to be raised after confirmation:
     Sportsbook 
    MyAffiliates
    pop-up template 

These to be raised later in the project :
    Sempico - after cian creates the account 

",,
1.3,Additional Services Confirmation ,Backlog,Urgent,Initiation,cian.m@nexus-solutions.io,11-24-25,4,11-28-25,"need to adjust the message according to the client but this is a draft of what have been communicated before 

Ahead of today's kick-off meeting, I would like to clarify some pending items.
Setup Fees and Process
    Game License Fee: €10,000 per year, paid per brand. We ask for your consent for us to start this process.
    Alias Domains: The first 25 aliases will be registered by us for free with the Anjouan authority. However, you must purchase these alias domains yourself and provide us with proof of purchase first.
    Platform Fee: €15,000 for the installation of the EGT platform. If the website goes live by September 15, 2025, this fee will be refunded as a deduction from your initial invoice.
Additional Services That Require Your Consent
    Sports Betting (Sportsbook): There are minimum monthly requirements as outlined in the MOU. Confirm whether you want to receive this service.
    Virtual Sports: There are minimum monthly requirements as outlined in the MOU. Confirm whether you want to receive this service.
    Email Messaging: A dedicated IP is recommended for marketing messages. The annual fee is €750. Confirm if you want to continue with the dedicated IP.
We look forward to obtaining your approval for the above items and starting the process without delay.
Best regards",,
1.30.1,Dedicated IPs ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,A dedicated IP is recommended for marketing messages. The annual fee is €750. Confirm if you want to continue with the dedicated IP.,,
1.30.2,Virtual Sports,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,there are minimum monthly requirements as outlined in the MOU. Confirm whether you want to receive this service,,
1.30.3,Sports Betting (Sportsbook),Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,There are minimum monthly requirements as outlined in the MOU. Confirm whether you want to receive this service.,,
1.4,Onboarding Meetings ,Backlog,Urgent,Initiation,alparslan@veritas-technology.io,11-24-25,4,11-28-25,,,"Finalize all the asset required from the operator ,Mailgun ,Comm100/ Live chat ,Google Analytics ,Hotjar ,Tableau "
1.40.1,Kick off meeting ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
1.40.2,agree on a weekly call time and day ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
1.40.3,CRM / CMS follow up Meeting ,Backlog,Urgent,Initiation,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
2.0,Phase 1 : Initiation - Payment methods,,Urgent,,,11-24-25,,11-24-25,,,
2.1,Mpay ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"Send a message on the Mpay group on teams 

",Onboarding Document ,"Payments: Activation Requests ,Payments Testing "
2.10.1,Send an email to PSP provider for API keys  ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"Subject: Cryptobox - Activation Request - [Operator Name]
Context: 


please also note the following based on the client's feedback [attach a screenshot of Cryptobox's payment rates and if the client need it or not for each method]",,
2.10.2,"Raise a ""NX# - [Client Name] - Payments Methods"" to EGT ",Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.10.3,Send the API keys to EGT ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.10.4,Test Payment methods once activated ,Backlog,Urgent,Payment methods,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
2.2,Aninda ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"once the onboarding is retrieved from the operator, send an email info@anindapays.com and finance@anindapays.com to request the activation.

",Onboarding Document ,"Payments: Activation Requests ,Payments Testing "
2.20.1,send an email to PSP provider ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"Subject: Aninda - Activation Request - [Operator Name]
Context: 
Hello team,

Please activate Aninda for [Operator Name]. You can send the API keys to alparslan@veritas-technology.io. 

please also note the following based on the client's feedback [attach a screenshot of Aninda's payment rates and if the client need it or not for each method]",,
2.20.2,"Raise a ""NX# - [Client Name] - Payments Methods"" to EGT ",Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.20.3,Send the API keys to EGT ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.20.4,Test Payment methods once activated ,Backlog,Urgent,Payment methods,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
2.3,Cryptobox ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"once the onboarding is retrevied from the operator, send an email  support@simple-pay.org to request the activation.

",Onboarding Document ,"Payments: Activation Requests ,Payments Testing "
2.30.1,Send an email to PSP provider ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"emails: support@simple-pay.org
Subject: Cryptobox - Activation Request - [Operator Name]
Context: 
please also note the following based on the client's feedback [attach a screenshot of Cryptobox's payment rates and if the client need it or not for each method]",,
2.30.2,"Raise a ""NX# - [Client Name] - Payments Methods"" to EGT ",Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.30.3,Send the API keys to EGT ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,,,
2.30.4,Test Payment methods once activated ,Backlog,Urgent,Payment methods,remzi@veritas-technology.io,11-24-25,4,11-28-25,,,
2.4,Payments: Activation Requests ,Backlog,Urgent,Payment methods,haya.a@nexus-solutions.io,11-24-25,4,11-28-25,"Raise a ticket on EGT's jira 
    Grid cashier view
    Fingerprint
    Disable KYC verification for Manual Withdrawals
    Player communication templates - payment methods
    Automatic status change from Processing to Expired for Deposits - 1h 30min
","Mpay ,Aninda ,Cryptobox ",
